id,nickname,note_id,content
1397,💜💜 M,640f27be0000000007038365,@UoEiinG
1398,NANA,640f27be0000000007038365,本人，一整个汗流浃背
1399,妙妙小葵,640f27be0000000007038365,[笑哭R]我也是，而且反光看不清拍的咋样，感觉手机要爆炸了
1400,momo,640f27be0000000007038365,拍拍拍一起当公主哈哈哈
1401,天下,640f27be0000000007038365,一簇簇的小恶魔
1402,小可爱就是我,640f27be0000000007038365,好的谢谢
1403,UoEiinG,640f27be0000000007038365,安排了吗
1404,💜💜 M,640f27be0000000007038365,我觉得一般
1405,冰美式+冰,640f27be0000000007038365,摄影师是自带的吗？
1406,Pearl,640f27be0000000007038365,6月份出发，有一起的吗
1407,泰国跳伞加油鸭,640f27be0000000007038365,偶遇小姐姐[偷笑R]
1408,花笙了🌲,640f27be0000000007038365,化妆是自己化吗
1409,睡觉大王,640f27be0000000007038365,是用三脚架拍的嘛
1410,Jojo超可爱,640f27be0000000007038365,很美
1411,冷酷包工头,640f27be0000000007038365,有五月出发的吗，[笑哭R]dd 找了好久太难了
1412,艾米酱💋,640f27be0000000007038365,请得摄影师吗
1413,Aviles Li,640f27be0000000007038365,管化妆吗
1414,糖豆饰品,640f27be0000000007038365,店具体地址在哪里啊怎么去
1415,天下,640f27be0000000007038365,是的
1416,天下,640f27be0000000007038365,朋友 人形支架[偷笑R]
1417,睡觉大王,640f27be0000000007038365,好滴hhhhhh
1418,天下,640f27be0000000007038365,自己拍的
1419,爱旅拍摄影📸,640f27be0000000007038365,美貌犯罪的话，你已经犯滔天大罪[哭惹R]好美呀
1420,VIP,640f27be0000000007038365,可以问一下化妆什么的拍照都是自己嘛
1421,肖静姿,640f27be0000000007038365,请问老奶奶的店可以帮化妆吗？
1422,小楊,640f27be0000000007038365,衣服和妆都是店里弄的嘛！
1423,什么魚,640f27be0000000007038365,都说最近泰国危险  请问姐妹去感觉如何呢  有没有什么要注意的地方[飞吻R]
1424,Paisley,640f27be0000000007038365,美
1425,YYYYYY,640f27be0000000007038365,@Haddock
1426,馨予宝贝,640f27be0000000007038365,拍有夕阳的大概几点？
1427,我的哈哈哈哈哈,640f27be0000000007038365,地址在哪里呀
1428,Vicky_,640f27be0000000007038365,你太漂亮了吧
1429,天下,640f27be0000000007038365,对的呀
1430,天下,640f27be0000000007038365,不可以哈宝宝
1431,肖静姿,640f27be0000000007038365,谢谢
1432,天下,640f27be0000000007038365,妆是自己画的宝宝
1433,天下,640f27be0000000007038365,在泰国 郑王庙高德地图一下
1434,我的哈哈哈哈哈,640f27be0000000007038365,好的，谢谢哦
1435,Hgnzizizi,640f27be0000000007038365,@AAA专业劝分小分队队长
1436,Vanessa.Q,640f27be0000000007038365,租泰服是150泰🐷嘛？
1437,镜花水悦,640f27be0000000007038365,店名就叫老奶奶的店吗
1438,鲸鲸.,640f27be0000000007038365,@我很善变（不想上班版）
1439,娜娜子🐰,640f27be0000000007038365,4.10出发有一起的吗
1440,晴空万里,640f27be0000000007038365,好美啊[飞吻R][飞吻R][飞吻R]
1441,荔枝大A,640f27be0000000007038365,是摄影师拍的吗
1442,momo,640f27be0000000007038365,@用户已注销 我想要
1443,Liz,640f27be0000000007038365,@CHMY1-
1444,Chryan,640f27be0000000007038365,请问有男装吗
1445,AAA专业劝分小分队队长,640f27be0000000007038365,嗷嗷爱
1446,Hgnzizizi,640f27be0000000007038365,拍这个，一定要拍这个
1447,AAA专业劝分小分队队长,640f27be0000000007038365,必须嘎嘎
1448,天下,640f27be0000000007038365,还包括了配饰发饰[偷笑R]
1449,天下,640f27be0000000007038365,是🍠的uu们这么喊得哈哈
1450,我很善变（不想上班版）,640f27be0000000007038365,我擦好美
1451,仙小雨,640f27be0000000007038365,我差不多要十几号
1452,Rr,640f27be0000000007038365,想10号一起去
1453,娜娜子🐰,640f27be0000000007038365,一起呀
1454,周小青,640f27be0000000007038365,4.9出发
1455,天下,640f27be0000000007038365,不是哈 随便找了个朋友指点了下拍出来的时候避开人群[偷笑R]
1456,CHMY1-,640f27be0000000007038365,妈哟 太美丽了吧
1457,天下,640f27be0000000007038365,有滴
1458,cy00.,640f27be0000000007038365,好美呀！发型是老奶奶盘的吗
1459,__q1nYu,640f27be0000000007038365,@万万
1460,__q1nYu,640f27be0000000007038365,@
1461,不要内耗,640f27be0000000007038365,好漂亮
1462,不要内耗,640f27be0000000007038365,@淋雨的小耶
1463,肚子饿了,640f27be0000000007038365,会帮忙化妆吗
1464,星星眼,640f27be0000000007038365,店里会帮忙画泰妆嘛
1465,小陈该吃饭啦,640f27be0000000007038365,去这里需要预约吗[害羞R]
1466,Cherry🍒,640f27be0000000007038365,哪家店[害羞R]
1467,WEI🖤,640f27be0000000007038365,小姐姐拍照有找摄影师吗
1468,天下,640f27be0000000007038365,对滴！
1469,淋雨的小朵拉,640f27be0000000007038365,啊啊啊这个泰美啦[飞吻R][飞吻R][飞吻R]
1470,天下,640f27be0000000007038365,自己画的[偷笑R]
1471,天下,640f27be0000000007038365,自己画的妆哦
1472,天下,640f27be0000000007038365,不用哦 但是需要100泰铢门票
1473,小陈该吃饭啦,640f27be0000000007038365,好滴，谢谢姐妹[害羞R]
1474,天下,640f27be0000000007038365,老奶奶的店！
1475,Cherry🍒,640f27be0000000007038365,好勒，谢谢姐妹[飞吻R]
1476,天下,640f27be0000000007038365,没有 随便找了个朋友拍的
1477,momo,640f27be0000000007038365,美
1478,花泽曼曼,640f27be0000000007038365,好美
1479,要赢,640f27be0000000007038365,你好美
1480,小红薯64FB5A4A,640f27be0000000007038365,我们报团去泰国玩了五天，玩的特别充裕，一天一个景点，玩到最后都没购物，天天都在玩。导游会告诉我们哪个景区不要买什么，可以买当地什么好吃的，便宜不踩坑，很良心❤️建议还是要报价位高一点团，品质有保障
1481,天下,640f27be0000000007038365,我没跟团自己去玩儿的[偷笑R]
1482,巧雯.,64edc884000000001e00ff3f,家人们！我的泰服是在这家租借的喔！             推荐大家可以来这里！最重要的是他们 有冷气！有冷气！有冷气！❄️                           📍Absolute Thai : Thai Costume Rental          坐船到了郑王庙在买票进去寺庙之前！沿着小路走到后面的巷子，往右边看一间蓝色的店面就是啦！[赞R][赞R]
1483,tiamo,64edc884000000001e00ff3f,姐妹有找摄影师吗
1484,茉莉花开✨,64edc884000000001e00ff3f,蹲一个 请问是哪一家的衣服呀
1485,진윤 (Agnes),64edc884000000001e00ff3f,好米[哇R]
1486,大红薯,64edc884000000001e00ff3f, @嗳茵酱 你要不要租衣服啊
1487,Qoo,64edc884000000001e00ff3f,哪一家
1488,吃牛蛙（网易）,64edc884000000001e00ff3f,@睡觉嘞
1489,sShu䲜-,64edc884000000001e00ff3f,@咕嘟是不二🌸 想拍泰服
1490,娇气格格巫,64edc884000000001e00ff3f,@讨厌格格巫 [doge]
1491,李公子啊-,64edc884000000001e00ff3f,姐妹穿这个能露文身吗，我肩膀有肩花另一侧有臂环[叹气R]我之前去清莱那个白庙不给我进得穿外套[可怜R]
1492,绝不售卖隔夜鸭,64edc884000000001e00ff3f,想问姐姐大约要多少钱 连着妆造之类吗[哭惹R]
1493,麻浦区桃子七百,64edc884000000001e00ff3f,请问需要预约吗 大概等了多久
1494,en,64edc884000000001e00ff3f,@啵仔搓得动
1495,anivrsosm,64edc884000000001e00ff3f,@不想上班 @～🌸
1496,🍒CHERRY🍒,64edc884000000001e00ff3f,他们有没有耳夹款，没耳洞但是又想带耳饰[害羞R]
1497,Solar-Monster,64edc884000000001e00ff3f,@一支天蝎-水贝珠宝
1498,香港寧藝卓,64edc884000000001e00ff3f,@香港張元英
1499,miss曼a_a,64edc884000000001e00ff3f,请问一下照片是自己拍的吗？还是哪里请的摄影师
1500,北屿纪叙,64edc884000000001e00ff3f,m
1501,草莓果汁🍹,64edc884000000001e00ff3f,有吗？我也想问[哭惹R]
